鹦鹉港澳,#genre#
BBC earth 地球频道 HD,p2p://185.169.196.146:9906/59fd3223000ee20302d857cf1a981663.ts
BBC Lifestyle 生活频道 HD,p2p://185.169.196.146:9906/59fd320000071ba102d7cd137e585878.ts
动物星球 HD,p2p://185.169.196.146:9906/59fd254500042de102a611e03cd83fa7.ts
美食星球 HD,p2p://185.169.196.146:9906/59fd07190004a07d0230361f798d3b15.ts
亚洲美食 HD,p2p://185.169.196.146:9906/59fd27e40007382002b04fb323e85206.ts
中华美食频道 HD,p2p://185.169.196.146:9906/59fd2b35000d642c02bd45b223ec494c.ts
EYETV旅游 HD,p2p://185.169.196.146:9906/59fd27c4000cb3b102afd41b5cc4003d.ts
霹雳台湾,p2p://185.169.196.146:9906/5c02a3f6000debe8c10775e9059a61b0.ts
大爱1台,p2p://185.169.196.146:9906/59fd173e0004273a026f46886dde4613.ts
MTV LIVE 音乐现场,p2p://185.169.196.146:9906/59fd338800019be502ddc6ec066c3089.ts
Disney迪士尼,p2p://185.169.196.146:9906/59fd1766000a51cc026fe44f425c5788.ts
History HD,p2p://185.169.196.146:9906/59fd16f900060059026e396d395f3348.ts
FRANCE 24（English）,p2p://185.169.196.146:9906/59fd268900088bbe02ab049910f0530f.ts
CNN美国有线电视新闻网,p2p://185.169.196.146:9906/59fd16db000b5f05026dc5a57b516fdb.ts
今日俄罗斯,p2p://185.169.196.146:9906/5acb88f40000e1422c19ae4624f1680c.ts
阿里郎电视台,p2p://185.169.196.146:9906/59fd303f000e8d8702d0f510645c2ff4.ts
NBA HD,p2p://185.169.196.146:9906/59fd169800027ee0026cbdab73845c4a.ts
新视觉 HD,p2p://185.169.196.146:9906/59fd2707000213d002acef2341433091.ts
ELTA综合 HD,p2p://185.169.196.146:9906/59fd26ca00086abe02ac0272796720c5.ts
ELTA体育1 HD,p2p://185.169.196.146:9906/59fd07ba000a4d260232ac6f507c5a84.ts
ELTA 体育3 HD,p2p://185.169.196.146:9906/5b1ea05d0009a88cd02e7355473b4230.ts
Eleven Sport 1,p2p://185.169.196.146:9906/59fd23c0000c1e7f02a0245c6964058b.ts
博斯网球 HD,p2p://185.169.196.146:9906/59fd0790000c3d34023208dc252633c0.ts
博斯无限,p2p://185.169.196.146:9906/59fd149100031ddf0264d2721a4e5126.ts
博斯运动2,p2p://185.169.196.146:9906/59fd3861000ae97702f0b8f522337286.ts
纬来体育.HD,p2p://185.169.196.146:9906/5a141bab0009ca9c5f91208265721808.ts
FOX News,p2p://185.169.196.146:9906/5b1ea01b0005bd51d02d708b68395064.ts
SKY SPORTS 1 HD,p2p://185.169.196.146:9906/5bfbedd600089d19a6d0079160a655f2.ts
Nick Jr,p2p://185.169.196.146:9906/59fcf253000a066a01df120704291dc3.ts
FOX SPORTS 3 HD,p2p://185.169.196.146:9906/59fd0ab7000ca0d6023e595351427583.ts
HBO Family 温馨家庭 HD,p2p://185.169.196.146:9906/59fd152900015243026723c45811069b.ts
HBO Signature 原创巨献 HD,p2p://185.169.196.146:9906/59fd14fc0005019f026674e730ed03b5.ts
FOX CRIME HD,p2p://185.169.196.146:9906/59fd14ae0007a794026544e32f606291.ts
FOX 家庭影院HD,p2p://185.169.196.146:9906/59fd229f000615aa029bb9ed79916213.ts
CHC 高清电影 HD,p2p://185.169.196.146:9906/59fd0b3f0002084d024069e339cc1997.ts
CHC 动作电影 HD,p2p://185.169.196.146:9906/59fd25c800060e1102a812154e343f18.ts
fashiontv HD,p2p://185.169.196.146:9906/59fd0add000221eb023eeb130f1c4195.ts
OUTDOOR HD,p2p://185.169.196.146:9906/59fd15a600029d6902690c5b552d077d.ts
CHANNEL NEWSASIA,p2p://185.169.196.146:9906/5a56d833000e41286443908c2a501e55.ts
Bloomberg,p2p://185.169.196.146:9906/59fd143600049ec602636f67016a7ce1.ts
TV5,p2p://185.169.196.146:9906/59fd1365000b6205026040b545ac325b.ts
CatchPlay HD,p2p://185.169.196.146:9906/59fd26e9000849d802ac7b8a43f34f6a.ts
Animax,p2p://185.169.196.146:9906/59fd24f00005da6c02a4c6456cf31e13.ts
tvN HD,p2p://185.169.196.146:9906/59fd248e000a1aa502a3488f618b6de7.ts
靖天育乐台,p2p://185.169.196.146:9906/59fd3068000ea26902d195477bc86f19.ts
靖天卡通台 HD,p2p://185.169.196.146:9906/59fd38e0000de06a02f2a9c951a975a6.ts
龙华动画 HD,p2p://185.169.196.146:9906/59fd26690002a01402aa86134bf26468.ts
CN卡通频道,p2p://185.169.196.146:9906/5a3b9d400006e7bcf9e47334508c3038.ts
靖天戏剧台 HD,p2p://185.169.196.146:9906/59fd36f80009b75202eb367f603a273f.ts
靖天电影台 HD,p2p://185.169.196.146:9906/59fd358c00069b9502e5a7d404d940d2.ts
靖天映画 HD,p2p://185.169.196.146:9906/59fd3565000a788d02e5107642590dce.ts
AXN新力影业动作片电视网,p2p://185.169.196.146:9906/59fd2573000c0b9e02a6c794631510c8.ts
FX 福克斯影视 HD,p2p://185.169.196.146:9906/59fd279b000c06e702af33d47d4c770a.ts
好萊塢電影 HD,p2p://185.169.196.146:9906/5a141b66000b4be65f90135822b40e43.ts
卫视电影台 HD,p2p://185.169.196.146:9906/59fd0369000ea5750221d12f32a532b8.ts
卫视西片台 HD,p2p://185.169.196.146:9906/59fd1475000301e1026465123e2e3650.ts
美亚电影台 HD,p2p://185.169.196.146:9906/59fd08470008d4d60234d2d92e65644c.ts
都市剧场 HD,p2p://185.169.196.146:9906/5bf91be6000ed46d9bcbb93713e17809.ts
纬来精彩 HD,p2p://185.169.196.146:9906/5ac5d68600012bae15d868ee776c7fe2.ts
纬来戏剧 HD,p2p://185.169.196.146:9906/59fd20190002fb090291ddb256d73759.ts
纬来电影 HD,p2p://185.169.196.146:9906/59fd1feb0003d7be02912a31740004af.ts
龙华偶像 HD,p2p://185.169.196.146:9906/59fd38a1000ca5a002f1b363682d5b70.ts
龙华戏剧 HD,p2p://185.169.196.146:9906/59fd38840006b53d02f14094613f7615.ts
